SAMPLE_NUMBER,SAMPLE_ID,LATITUDE,LONGITUDE,BOX_NUMBER,COLLECTION_DATE,COLLECTION_TIME,SAMPLE_BAG,BEFORE_PHOTO_NUMBER,AFTER_PHOTO_NUMBER,SHOT_MEASUREMENT_X,SHOT_MEASUREMENT_Y,PENETROMETER_READING,RELIABILITY_,NOTES,IMAGES,,,,,,,
110,XXXXXXXX00_2-S,32.278695,-108.888615,XXXXXXXX00,,,2-S,,,,,,,,,,,,,,,
111,XXXXXXXX00_2-W,32.278740,-108.888668,XXXXXXXX00,,,2-W,,,,,,,,,,,,,,,
112,XXXXXXXX00_EP,32.277303,-108.888720,XXXXXXXX00,,,EP,,,,,,,,,,,,,,,
113,XXXXXXXX00_EP-E,32.277303,-108.888667,XXXXXXXX00,,,EP-E,,,,,,,,,,,,,,,
114,XXXXXXXX00_EP-N,32.277348,-108.888720,XXXXXXXX00,,,EP-N,,,,,,,,,,,,,,,
115,XXXXXXXX00_EP-W,32.277303,-108.888773,XXXXXXXX00,,,EP-W,,,,,,,,,,,,,,,
116,XXXXXXXX01_3,32.279466,-108.888601,XXXXXXXX01,,,3,,,,,,,,,,,,,,,
117,XXXXXXXX01_3-E,32.279466,-108.888548,XXXXXXXX01,,,3-E,,,,,,,,,,,,,,,
118,XXXXXXXX01_3-N,32.279511,-108.888601,XXXXXXXX01,,,3-N,,,,,,,,,,,,,,,
119,XXXXXXXX01_3-S,32.279421,-108.888601,XXXXXXXX01,,,3-S,,,,,,,,,,,,,,,
120,XXXXXXXX01_3-W,32.279466,-108.888655,XXXXXXXX01,,,3-W,,,,,,,,,,,,,,,
121,XXXXXXXX01_4,32.280101,-108.888512,XXXXXXXX01,,,4,,,,,,,,,,,,,,,
122,XXXXXXXX01_4-E,32.280101,-108.888459,XXXXXXXX01,,,4-E,,,,,,,,,,,,,,,
123,XXXXXXXX01_4-N,32.280146,-108.888512,XXXXXXXX01,,,4-N,,,,,,,,,,,,,,,
124,XXXXXXXX01_4-S,32.280056,-108.888512,XXXXXXXX01,,,4-S,,,,,,,,,,,,,,,
125,XXXXXXXX01_4-W,32.280101,-108.888565,XXXXXXXX01,,,4-W,,,,,,,,,,,,,,,
126,XXXXXXXX01_5,32.280781,-108.888472,XXXXXXXX01,,,5,,,,,,,,,,,,,,,
127,XXXXXXXX01_5-E,32.280781,-108.888418,XXXXXXXX01,,,5-E,,,,,,,,,,,,,,,
128,XXXXXXXX01_5-N,32.280826,-108.888472,XXXXXXXX01,,,5-N,,,,,,,,,,,,,,,
129,XXXXXXXX01_5-S,32.280736,-108.888472,XXXXXXXX01,,,5-S,,,,,,,,,,,,,,,
130,XXXXXXXX01_5-W,32.280781,-108.888525,XXXXXXXX01,,,5-W,,,,,,,,,,,,,,,
131,XXXXXXXX02_6,32.281451,-108.888364,XXXXXXXX02,,,6,,,,,,,,,,,,,,,
132,XXXXXXXX02_6-E,32.281451,-108.888311,XXXXXXXX02,,,6-E,,,,,,,,,,,,,,,
133,XXXXXXXX02_6-N,32.281496,-108.888364,XXXXXXXX02,,,6-N,,,,,,,,,,,,,,,
134,XXXXXXXX02_6-S,32.281406,-108.888364,XXXXXXXX02,,,6-S,,,,,,,,,,,,,,,
135,XXXXXXXX02_6-W,32.281451,-108.888417,XXXXXXXX02,,,6-W,,,,,,,,,,,,,,,
136,XXXXXXXX02_7,32.282149,-108.888249,XXXXXXXX02,,,7,,,,,,,,,,,,,,,
137,XXXXXXXX02_7-E,32.282149,-108.888196,XXXXXXXX02,,,7-E,,,,,,,,,,,,,,,
138,XXXXXXXX02_7-N,32.282194,-108.888249,XXXXXXXX02,,,7-N,,,,,,,,,,,,,,,
